Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
syb_perk_name_8002,Fishing for meat,Fishing for meat,Fishing for meat,Fishing for meat,Ловля на мясо,Fishing for meat,Fishing for meat,Fishing for meat,Fishing for meat,Fishing for meat,Fishing for meat,Fishing for meat,Fishing for meat,Fishing for meat
syb_perk_name_8003,Using networks,Using networks,Using networks,Using networks,Использование сетей,Using networks,Using networks,Using networks,Using networks,Using networks,Using networks,Using networks,Using networks,Using networks
syb_perk_name_8004,Using traps,Using traps,Using traps,Using traps,Использование ловушек,Using traps,Using traps,Using traps,Using traps,Using traps,Using traps,Using traps,Using traps,Using traps
syb_perk_name_8005,Catching on a worm,Catching on a worm,Catching on a worm,Catching on a worm,Ловля на червя,Catching on a worm,Catching on a worm,Catching on a worm,Catching on a worm,Catching on a worm,Catching on a worm,Catching on a worm,Catching on a worm,Catching on a worm
syb_perk_name_8006,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_9000,Spark plug service,Spark plug service,Spark plug service,Spark plug service,Обслуживание свечей зажигания,Spark plug service,Spark plug service,Spark plug service,Spark plug service,Spark plug service,Spark plug service,Spark plug service,Spark plug service,Spark plug service
syb_perk_name_9001,Wheel service,Wheel service,Wheel service,Wheel service,Обслуживание колес,Wheel service,Wheel service,Wheel service,Wheel service,Wheel service,Wheel service,Wheel service,Wheel service,Wheel service
syb_perk_name_9002,Door service,Door service,Door service,Door service,Обслуживание дверей,Door service,Door service,Door service,Door service,Door service,Door service,Door service,Door service,Door service
syb_perk_name_9003,Gas tank repair,Gas tank repair,Gas tank repair,Gas tank repair,Ремонт бензобака,Gas tank repair,Gas tank repair,Gas tank repair,Gas tank repair,Gas tank repair,Gas tank repair,Gas tank repair,Gas tank repair,Gas tank repair
syb_perk_name_9004,Glass maintenance,Glass maintenance,Glass maintenance,Glass maintenance,Обслуживание стекол,Glass maintenance,Glass maintenance,Glass maintenance,Glass maintenance,Glass maintenance,Glass maintenance,Glass maintenance,Glass maintenance,Glass maintenance
syb_perk_name_9005,Body repair,Body repair,Body repair,Body repair,Ремонт кузова,Body repair,Body repair,Body repair,Body repair,Body repair,Body repair,Body repair,Body repair,Body repair
syb_perk_name_9006,Engine service,Engine service,Engine service,Engine service,Обслуживание двигателя,Engine service,Engine service,Engine service,Engine service,Engine service,Engine service,Engine service,Engine service,Engine service
syb_perk_name_9007,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank,Бензин в бензобаке,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank,Gasoline in the gas tank
syb_perk_name_9008,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts,Разборка запчастей,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts,Disassembly of spare parts
syb_perk_name_9009,Repair of spare parts,Repair of spare parts,Repair of spare parts,Repair of spare parts,Ремонт запчастей,Repair of spare parts,Repair of spare parts,Repair of spare parts,Repair of spare parts,Repair of spare parts,Repair of spare parts,Repair of spare parts,Repair of spare parts,Repair of spare parts
syb_perk_name_9010,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_10000,Disassembly of devices,Disassembly of devices,Disassembly of devices,Disassembly of devices,Разборка устройств,Disassembly of devices,Disassembly of devices,Disassembly of devices,Disassembly of devices,Disassembly of devices,Disassembly of devices,Disassembly of devices,Disassembly of devices,Disassembly of devices
syb_perk_name_10001,Device repair,Device repair,Device repair,Device repair,Ремонт устройств,Device repair,Device repair,Device repair,Device repair,Device repair,Device repair,Device repair,Device repair,Device repair
syb_perk_name_10002,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_11000,Disassembly of items,Disassembly of items,Disassembly of items,Disassembly of items,Разборка предметов,Disassembly of items,Disassembly of items,Disassembly of items,Disassembly of items,Disassembly of items,Disassembly of items,Disassembly of items,Disassembly of items,Disassembly of items
syb_perk_name_11001,Repairing items,Repairing items,Repairing items,Repairing items,Ремонт предметов,Repairing items,Repairing items,Repairing items,Repairing items,Repairing items,Repairing items,Repairing items,Repairing items,Repairing items
syb_perk_name_11002,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_12000,Dismantling,Dismantling,Dismantling,Dismantling,Демонтаж,Dismantling,Dismantling,Dismantling,Dismantling,Dismantling,Dismantling,Dismantling,Dismantling,Dismantling
syb_perk_name_12001,Repairs,Repairs,Repairs,Repairs,Ремонт,Repairs,Repairs,Repairs,Repairs,Repairs,Repairs,Repairs,Repairs,Repairs
syb_perk_name_12002,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_13000,Installation of locks,Installation of locks,Installation of locks,Installation of locks,Установка замков,Installation of locks,Installation of locks,Installation of locks,Installation of locks,Installation of locks,Installation of locks,Installation of locks,Installation of locks,Installation of locks
syb_perk_name_13001,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors,Установка деревянных дверей,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors,Installation of wooden doors
syb_perk_name_13002,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates,Установка деревянных ворот,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates,Installation of wooden gates
syb_perk_name_13003,Installation of metal doors,Installation of metal doors,Installation of metal doors,Installation of metal doors,Установка металических дверей,Installation of metal doors,Installation of metal doors,Installation of metal doors,Installation of metal doors,Installation of metal doors,Installation of metal doors,Installation of metal doors,Installation of metal doors,Installation of metal doors
syb_perk_name_13004,Installation of metal gates,Installation of metal gates,Installation of metal gates,Installation of metal gates,Установка металических ворот,Installation of metal gates,Installation of metal gates,Installation of metal gates,Installation of metal gates,Installation of metal gates,Installation of metal gates,Installation of metal gates,Installation of metal gates,Installation of metal gates
syb_perk_name_13005,Setting up barricades,Setting up barricades,Setting up barricades,Setting up barricades,Установка барикад,Setting up barricades,Setting up barricades,Setting up barricades,Setting up barricades,Setting up barricades,Setting up barricades,Setting up barricades,Setting up barricades,Setting up barricades
syb_perk_name_13006,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_14000,Fast reload,Fast reload,Fast reload,Fast reload,Быстрая перезарядка,Fast reload,Fast reload,Fast reload,Fast reload,Fast reload,Fast reload,Fast reload,Fast reload,Fast reload
syb_perk_name_14001,Weapon cleaning,Weapon cleaning,Weapon cleaning,Weapon cleaning,Чистка оружия,Weapon cleaning,Weapon cleaning,Weapon cleaning,Weapon cleaning,Weapon cleaning,Weapon cleaning,Weapon cleaning,Weapon cleaning,Weapon cleaning
syb_perk_name_14002,Ammunition production,Ammunition production,Ammunition production,Ammunition production,Производство боеприпасов,Ammunition production,Ammunition production,Ammunition production,Ammunition production,Ammunition production,Ammunition production,Ammunition production,Ammunition production,Ammunition production
syb_perk_name_14003,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons,Разборка оружия,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons,Disassembly of weapons
syb_perk_name_14004,Weapon repair,Weapon repair,Weapon repair,Weapon repair,Ремонт оружия,Weapon repair,Weapon repair,Weapon repair,Weapon repair,Weapon repair,Weapon repair,Weapon repair,Weapon repair,Weapon repair
syb_perk_name_14005,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_15000,Using lock picks,Using lock picks,Using lock picks,Using lock picks,Использование отмычек,Using lock picks,Using lock picks,Using lock picks,Using lock picks,Using lock picks,Using lock picks,Using lock picks,Using lock picks,Using lock picks
syb_perk_name_15001,Picking locks,Picking locks,Picking locks,Picking locks,Взлом замков,Picking locks,Picking locks,Picking locks,Picking locks,Picking locks,Picking locks,Picking locks,Picking locks,Picking locks
syb_perk_name_15002,Hacking equipment,Hacking equipment,Hacking equipment,Hacking equipment,Взлом техники,Hacking equipment,Hacking equipment,Hacking equipment,Hacking equipment,Hacking equipment,Hacking equipment,Hacking equipment,Hacking equipment,Hacking equipment
syb_perk_name_15003,Pickpocketing,Pickpocketing,Pickpocketing,Pickpocketing,Карманные кражи,Pickpocketing,Pickpocketing,Pickpocketing,Pickpocketing,Pickpocketing,Pickpocketing,Pickpocketing,Pickpocketing,Pickpocketing
syb_perk_name_15004,Dexterous hands,Dexterous hands,Dexterous hands,Dexterous hands,Ловкие руки,Dexterous hands,Dexterous hands,Dexterous hands,Dexterous hands,Dexterous hands,Dexterous hands,Dexterous hands,Dexterous hands,Dexterous hands
syb_perk_name_15005,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs,Взлом наручников,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs,Hacking handcuffs
syb_perk_name_15006,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver,Обманный маневр,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver,Deceiving maneuver
syb_perk_name_15007,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_16000,Collection of herbs,Collection of herbs,Collection of herbs,Collection of herbs,Сбор трав,Collection of herbs,Collection of herbs,Collection of herbs,Collection of herbs,Collection of herbs,Collection of herbs,Collection of herbs,Collection of herbs,Collection of herbs
syb_perk_name_16001,Defining Effects,Defining Effects,Defining Effects,Defining Effects,Определение эффектов,Defining Effects,Defining Effects,Defining Effects,Defining Effects,Defining Effects,Defining Effects,Defining Effects,Defining Effects,Defining Effects
syb_perk_name_16002,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_name_16003,Effective drugs,Effective drugs,Effective drugs,Effective drugs,Эффективные препараты,Effective drugs,Effective drugs,Effective drugs,Effective drugs,Effective drugs,Effective drugs,Effective drugs,Effective drugs,Effective drugs
syb_perk_name_16004,Mass production,Mass production,Mass production,Mass production,Массовое производство,Mass production,Mass production,Mass production,Mass production,Mass production,Mass production,Mass production,Mass production,Mass production
syb_perk_name_17000,Leather dressing,Leather dressing,Leather dressing,Leather dressing,Выделка кожи,Leather dressing,Leather dressing,Leather dressing,Leather dressing,Leather dressing,Leather dressing,Leather dressing,Leather dressing,Leather dressing
syb_perk_name_17001,Leather repair,Leather repair,Leather repair,Leather repair,Ремонт кожи,Leather repair,Leather repair,Leather repair,Leather repair,Leather repair,Leather repair,Leather repair,Leather repair,Leather repair
syb_perk_name_17002,Wool processing,Wool processing,Wool processing,Wool processing,Обработка шерсти,Wool processing,Wool processing,Wool processing,Wool processing,Wool processing,Wool processing,Wool processing,Wool processing,Wool processing
syb_perk_name_17003,Cotton processing,Cotton processing,Cotton processing,Cotton processing,Обработка хлопка,Cotton processing,Cotton processing,Cotton processing,Cotton processing,Cotton processing,Cotton processing,Cotton processing,Cotton processing,Cotton processing
syb_perk_name_17004,Processing,Processing,Processing,Processing,Переработка,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
syb_perk_name_17005,Repair of things,Repair of things,Repair of things,Repair of things,Ремонт вещей,Repair of things,Repair of things,Repair of things,Repair of things,Repair of things,Repair of things,Repair of things,Repair of things,Repair of things
syb_perk_name_17006,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Прямые руки,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands,Skillful hands
syb_perk_desc_8000,"When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by",При ловле рыбы на хлеб шанс успешного улова увеличен на,"When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by","When fishing with bread, the chance of a successful catch is increased by"
syb_perk_desc_8001,"When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by",При ловле рыбы на блесну шанс успешного улова увеличен на,"When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by","When fishing with a spoon, the chance of a successful catch is increased by"
syb_perk_desc_8002,"When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by",При ловле рыбы на мясо шанс успешного улова увеличен на,"When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by","When fishing for meat, the chance of a successful catch is increased by"
syb_perk_desc_8003,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing,Вы можете устанавливать сети для ловли рыбы,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing,You can set up nets for fishing
syb_perk_desc_8004,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish,Вы можете устанавливать ловушки для ловли рыбы,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish,You can set traps to catch fish
syb_perk_desc_8005,"When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by",При ловле рыбы на червя шанс успешного улова увеличен на,"When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by","When fishing with a worm, the chance of a successful catch is increased by"
syb_perk_desc_8006,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,Вы более аккуратно обращаетесь с рыбацким снаряжением. Оно вам будет служить дольше на,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for,You are more careful with your fishing equipment. It will serve you longer for
syb_perk_desc_9000,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,Этот навык позволяет устанавливать и снимать свечи зажигания с помощью ключа на 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21,This skill allows you to install and remove spark plugs using a 21
syb_perk_desc_9001,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,Этот навык позволяет устанавливать и снимать колеса с помощью ключа на 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24,This skill allows you to mount and remove wheels using a 24
syb_perk_desc_9002,"This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","Этот навык позволяет устанавливать и снимать двери, капот или багажник с помощью отвертки","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver","This skill allows you to install and remove doors, hood or trunk using a screwdriver"
syb_perk_desc_9003,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,Этот навык позволяет ремонтировать бензобак с помощью эпоксидной шпаклевки,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty,This skill allows you to repair a gas tank with epoxy putty
syb_perk_desc_9004,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,Этот навык позволяет устанавливать и снимать стекла с помощью ключа для установки стекол,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench,This skill allows you to install and remove glass with a glass fitting wrench
syb_perk_desc_9005,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,Этот навык позволяет ремонтировать кузов автомобиля с помощью молотка,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer,This skill allows you to repair a car body with a hammer
syb_perk_desc_9006,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,Этот навык позволяет устанавливать и снимать двигатель с автомобиля с помощью набора инструментов,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox,This skill allows you to install and remove an engine from a vehicle using a toolbox
syb_perk_desc_9007,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,Этот навык позволяет сливать бензин с бензобака с помощью резиновой трубки,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube,This skill allows you to drain gas from the gas tank using a rubber tube
syb_perk_desc_9008,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,Вы научились разбирать части автомобиля на запчасти. Количество получаемых запчастей увеличено до,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to,You have learned how to disassemble car parts for parts. The number of spare parts received has been increased to
syb_perk_desc_9009,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to,Вы можете ремонтировать автомобильные запчасти до,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to,You can repair car parts up to
syb_perk_desc_9010,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Инструменты механика будут служить вам дольше при бережном обращении с ними на,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on,Your mechanic's tools will last longer if handled with care on
syb_perk_desc_10000,"When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on",При разборке электроники вы получите больше радиодеталей деталей на,"When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on","When disassembling electronics, you will get more radio parts parts on"
syb_perk_desc_10001,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at,Вы можете ремонтировать электронику лучше на,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at,You can repair electronics better at
syb_perk_desc_10002,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Инструменты электроника будут служить вам дольше при бережном обращении с ними на,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on,Electronic tools will last you longer if handled with care on
syb_perk_desc_11000,"When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on",При разборке деревянных изделий вы получите больше дерева и деталей на,"When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on","When disassembling wooden products, you will receive more wood and parts on"
syb_perk_desc_11001,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at,Вы можете ремонтировать деревянные вещи лучше на,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at,You can repair wooden things better at
syb_perk_desc_11002,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Инструменты плотника будут служить вам дольше при бережном обращении с ними на,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on,Carpenter tools will last longer when handled with care on
